Giraffe Elephant Tiger
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 19 20
20 19 20
20 19 20
20 19 20
20 19 20
19 19 20
19 18 20
19 18 20
19 18 20
19 17 20
19 16 20
19 15 20
19 15 20
19 15 20
19 15 20
19 14 20
18 14 20
18 14 20
18 14 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 13 20
17 12 20
17 12 20
7 8 6
7 8 6
7 8 6
6 8 6
5 8 6
5 8 6
5 8 6
5 8 6
5 8 6
4 8 6
4 8 6
4 8 6
4 8 6
4 8 6
4 8 6
3 8 6
3 8 6
3 8 6
3 7 5
3 7 5
3 7 5
3 7 5
3 7 5
2 7 5
2 7 5
2 7 5
2 7 5
2 7 5
2 7 5
2 7 5
2 7 5
2 7 5
1 7 5
1 7 5
1 7 5
1 6 5
1 6 5
1 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 5
0 6 4
0 6 3
0 6 3
0 6 3
0 6 3
0 6 3
0 6 3
0 6 3
0 6 3
0 6 3
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 2
0 6 1
0 5 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 4 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 1
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 3 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 2 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
0 1 0
