
<<<<<<< Updated upstream
Tiger 49 Thirst
Tiger 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Elephant 49 Thirst
Elephant 49 Thirst
Elephant 49 Thirst
Elephant 49 Thirst
Tiger 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Elephant 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Elephant 49 Thirst
Tiger 49 Thirst
Elephant 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Tiger 49 Thirst
Tiger 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Elephant 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Elephant 49 Thirst
Elephant 49 Thirst
Tiger 49 Thirst
Elephant 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Tiger 49 Thirst
Giraffe 49 Thirst
Elephant 49 Thirst
Giraffe 49 Thirst
=======
Elephant 14 Eaten
Tiger 409 Hunger
Tiger 390 Hunger
Tiger 382 Hunger
Elephant 15 Eaten
Tiger 364 Hunger
Giraffe 145 Eaten
Tiger 2707 Hunger
Elephant 126 Eaten
Giraffe 119 Eaten
Giraffe 24 Eaten
Elephant 127 Eaten
Elephant 130 Eaten
Giraffe 27 Eaten
Giraffe 91 Eaten
Elephant 104 Eaten
Tiger 375 Hunger
Tiger 405 Hunger
Tiger 283 Hunger
Giraffe 15 Eaten
Elephant 24 Eaten
Tiger 346 Hunger
Tiger 372 Hunger
Elephant 68 Eaten
Elephant 44 Eaten
Giraffe 176 Eaten
Tiger 254 Hunger
Giraffe 56 Eaten
Elephant 40 Eaten
Giraffe 11 Eaten
Tiger 374 Hunger
Giraffe 125 Eaten
Tiger 262 Hunger
Tiger 1253 Hunger
Giraffe 98 Eaten
Giraffe 62 Eaten
Tiger 243 Hunger
Tiger 293 Hunger
Elephant 102 Eaten
Elephant 12 Eaten
Giraffe 13 Eaten
Tiger 569 Hunger
Giraffe 290 Eaten
Tiger 483 Hunger
Giraffe 106 Eaten
Giraffe 26 Eaten
Giraffe 129 Eaten
Tiger 438 Hunger
Tiger 326 Hunger
Elephant 88 Eaten
Elephant 25 Eaten
Elephant 28 Eaten
Tiger 364 Hunger
Elephant 115 Eaten
Elephant 73 Eaten
Elephant 65 Eaten
Tiger 221 Hunger
Elephant 102 Eaten
Giraffe 74 Eaten
Tiger 396 Hunger
Elephant 39 Eaten
Giraffe 16 Eaten
Giraffe 54 Eaten
>>>>>>> Stashed changes
