Giraffe Elephant Tiger
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
<<<<<<< Updated upstream
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
20 20 20
=======
19 20 20
19 19 20
18 19 20
18 18 20
17 17 20
16 17 20
16 17 20
16 17 20
16 17 20
16 17 20
16 17 20
16 17 20
16 17 20
15 16 20
15 15 20
14 15 20
13 15 20
13 14 20
13 14 20
13 14 20
13 14 20
13 14 20
13 14 20
13 14 20
13 14 20
13 14 20
13 14 20
13 14 20
13 13 20
13 12 20
13 12 20
13 12 20
13 12 20
13 11 20
13 11 20
13 11 20
13 11 20
13 11 20
13 11 20
13 11 20
13 11 20
13 11 20
13 11 20
12 11 20
12 11 20
11 11 20
11 11 20
11 11 20
11 11 20
11 11 20
11 11 20
10 11 20
10 11 20
10 11 20
10 10 20
10 10 20
10 10 20
10 9 20
10 9 20
10 9 20
10 9 20
10 9 20
10 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 8 20
9 7 20
9 7 20
9 7 20
8 7 20
8 7 20
8 7 20
8 7 20
8 7 20
8 7 20
8 7 20
7 7 20
7 7 20
7 7 20
7 7 20
7 5 20
7 5 20
7 4 20
7 4 20
6 4 20
6 4 20
6 4 20
6 4 20
6 4 20
6 4 20
6 4 20
6 4 20
6 4 20
6 3 20
6 3 20
6 3 20
6 3 20
5 3 20
5 3 20
5 3 20
5 3 20
5 3 20
5 3 20
4 3 20
4 2 20
4 1 20
4 1 20
3 1 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
3 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
2 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 21
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 21
1 0 21
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 21
1 0 21
1 0 21
1 0 21
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 20
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 19
1 0 18
1 0 18
1 0 18
1 0 18
1 0 18
1 0 18
1 0 18
0 0 18
0 0 18
0 0 18
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 17
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
0 0 16
